City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Orsha,54.5153,30.4053,50.88,77,65,10.16,BY,1653754573
Punta Arenas,-53.15,-70.9167,41.11,65,40,17.27,CL,1653754573
Samarai,-10.6167,150.6667,78.28,71,44,10.76,PG,1653754573
Mataura,-46.1927,168.8643,45.48,97,22,3.11,NZ,1653754574
Isangel,-19.55,169.2667,75.54,84,20,5.57,VU,1653754574
Port Hardy,50.6996,-127.4199,49.89,81,84,2.39,CA,1653754315
Puerto Ayora,-0.7393,-90.3518,72.55,92,99,10.0,EC,1653754575
Hermanus,-34.4187,19.2345,56.8,80,48,20.2,ZA,1653754575
Cape Town,-33.9258,18.4232,60.19,87,61,10.0,ZA,1653754419
Saint-Philippe,-21.3585,55.7679,72.99,70,78,13.62,RE,1653754575
Mar del Plata,-38.0023,-57.5575,51.94,65,0,11.5,AR,1653754467
Butaritari,3.0707,172.7902,81.48,75,97,12.62,KI,1653754576
Bredasdorp,-34.5322,20.0403,62.28,63,42,15.79,ZA,1653754576
Thinadhoo,0.5333,72.9333,84.11,71,83,10.89,MV,1653754577
Soyo,-6.1349,12.3689,76.15,73,6,9.15,AO,1653754577
Palmer,42.1584,-72.3287,71.74,75,100,0.0,US,1653754394
Bambous Virieux,-20.3428,57.7575,75.45,73,40,11.5,MU,1653754578
Lagoa,39.05,-27.9833,59.63,59,100,16.06,PT,1653754578
Kruisfontein,-34.0033,24.7314,61.88,82,24,20.27,ZA,1653754578
Sakassou,7.4546,-5.2926,89.44,61,61,3.42,CI,1653754579
Laas,46.6166,10.7002,65.28,71,85,4.38,IT,1653754579
Itupiranga,-5.1347,-49.3267,93.52,48,6,5.7,BR,1653754477
Caravelas,-17.7125,-39.2481,80.01,58,67,7.02,BR,1653754579
Chino Valley,34.7575,-112.4538,76.86,16,0,17.27,US,1653754358
Toktogul,41.8708,72.9402,55.81,85,93,3.38,KG,1653754580
Hilo,19.7297,-155.09,69.82,91,100,1.01,US,1653754580
Westport,41.1415,-73.3579,70.93,89,100,9.22,US,1653754546
Stornoway,58.2093,-6.3865,51.1,70,75,13.8,GB,1653754581
Agirish,61.9247,63.0231,55.0,90,96,2.82,RU,1653754581
Mandalgovi,45.7625,106.2708,39.52,54,10,15.75,MN,1653754582
Teya,60.3778,92.6267,51.75,55,99,3.8,RU,1653754582
Turukhansk,65.8167,87.9833,51.19,58,32,11.48,RU,1653754582
Deputatsky,69.3,139.9,18.64,93,28,1.97,RU,1653754583
Batetskiy,58.6461,30.3027,52.29,87,81,5.3,RU,1653754583
Provideniya,64.3833,-173.3,40.48,81,13,6.46,RU,1653754584
Quatre Cocos,-20.2078,57.7625,74.08,73,4,19.66,MU,1653754584
Rikitea,-23.1203,-134.9692,76.14,72,2,8.59,PF,1653754584
Vaini,-21.2,-175.2,75.36,100,75,5.75,TO,1653754585
Tasiilaq,65.6145,-37.6368,39.36,94,100,32.88,GL,1653754585
Tuktoyaktuk,69.4541,-133.0374,24.8,93,100,6.91,CA,1653754586
Qaanaaq,77.484,-69.3632,31.08,80,91,3.69,GL,1653754586
Mahébourg,-20.4081,57.7,75.49,73,40,11.5,MU,1653754587
Barrow,71.2906,-156.7887,32.02,93,100,6.91,US,1653754587
Gushikawa,26.3544,127.8686,74.82,96,20,10.36,JP,1653754587
Acapulco de Juárez,16.8634,-99.8901,85.82,66,100,8.05,MX,1653754348
Busselton,-33.65,115.3333,55.65,63,84,13.62,AU,1653754588
Kapaa,22.0752,-159.319,73.78,86,75,10.36,US,1653754588
Port Alfred,-33.5906,26.891,65.17,71,3,5.01,ZA,1653754589
Yellowknife,62.456,-114.3525,53.35,54,12,11.63,CA,1653754293
Bielsko-Biala,49.8224,19.0469,59.95,37,63,9.64,PL,1653754589
Solnechnyy,50.7214,136.6319,45.41,98,100,3.33,RU,1653754590
Henties Bay,-22.116,14.2845,58.19,86,47,12.84,NA,1653754591
Alice Springs,-23.7,133.8833,69.22,32,96,5.75,AU,1653754592
Albany,42.6001,-73.9662,71.82,75,87,9.66,US,1653754482
New Norfolk,-42.7826,147.0587,41.04,87,43,0.6,AU,1653754592
Castro,-24.7911,-50.0119,72.73,47,55,9.8,BR,1653754593
Cabo San Lucas,22.8909,-109.9124,85.6,51,0,6.91,MX,1653754593
Hong Kong,22.2855,114.1577,83.62,85,96,11.01,HK,1653754325
Tortolì,39.9256,9.6572,75.02,78,20,5.75,IT,1653754594
Sitka,57.0531,-135.33,51.69,82,100,5.75,US,1653754594
Jiuquan,39.7432,98.5174,66.13,45,71,17.02,CN,1653754595
Sibu,2.3,111.8167,77.31,94,40,0.0,MY,1653754595
Santa Maria,-29.6842,-53.8069,66.04,93,100,2.13,BR,1653754595
Harbour Breton,47.4833,-55.7983,42.62,94,100,25.3,CA,1653754596
Sārangarh,21.6,83.0833,94.6,28,94,13.11,IN,1653754596
Hobart,-42.8794,147.3294,41.67,92,16,2.3,AU,1653754502
Ahipara,-35.1667,173.1667,60.62,75,98,16.22,NZ,1653754597
Port Elizabeth,-33.918,25.5701,63.1,85,0,23.02,ZA,1653754597
Saint Paul Harbor,57.79,-152.4072,62.11,39,100,10.36,US,1653754598
Kudahuvadhoo,2.6708,72.8944,84.04,70,18,12.86,MV,1653754598
Ushuaia,-54.8,-68.3,35.26,87,75,25.32,AR,1653754391
Torbay,47.6666,-52.7314,41.97,76,100,16.11,CA,1653754599
Constitución,-35.3333,-72.4167,52.41,43,96,5.91,CL,1653754599
Lebu,-37.6167,-73.65,47.77,61,1,16.22,CL,1653754600
Yuganets,56.2508,43.2307,51.69,95,99,11.5,RU,1653754600
Hofn,64.2539,-15.2082,48.09,76,51,10.13,IS,1653754600
Tessalit,20.1986,1.0114,108.39,6,22,4.27,ML,1653754601
San Cristobal,7.7669,-72.225,82.58,50,92,8.48,VE,1653754601
Nīlēshwar,12.25,75.1,81.57,80,2,3.06,IN,1653754602
Paso de los Toros,-32.8167,-56.5167,54.79,71,100,8.3,UY,1653754602
Bambanglipuro,-7.95,110.2833,75.72,92,11,4.65,ID,1653754602
Bogandé,12.9714,-0.1436,103.17,20,0,3.89,BF,1653754603
Faya,18.3851,42.4509,75.72,42,20,9.19,SA,1653754603
Bluff,-46.6,168.3333,45.81,88,77,8.93,NZ,1653754604
Kiryat Gat,31.61,34.7642,78.73,100,1,12.95,IL,1653754443
George Town,5.4112,100.3354,84.04,79,20,1.14,MY,1653754604
Itarema,-2.9248,-39.9167,82.54,77,27,12.66,BR,1653754605
Kwinana,-32.25,115.7667,54.34,73,78,3.0,AU,1653754605
Teeli,51.0333,90.2333,63.57,37,95,0.45,RU,1653754605
Raudeberg,61.9875,5.1352,45.86,88,99,14.27,NO,1653754606
Baykit,61.67,96.37,49.59,54,100,2.28,RU,1653754606
Agüimes,27.9054,-15.4461,70.43,64,75,10.36,ES,1653754607
Dunedin,-45.8742,170.5036,43.81,81,22,1.01,NZ,1653754607
Lavrentiya,65.5833,-171.0,34.16,96,100,3.15,RU,1653754607
Kamariótissa,40.4833,25.4667,72.07,74,52,1.92,GR,1653754608
Wilmington,34.2257,-77.9447,84.87,64,40,6.91,US,1653754608
Calama,-22.4667,-68.9333,63.09,15,0,14.97,CL,1653754514
Mackenzie,55.2999,-123.1698,43.02,93,100,5.75,CA,1653754313
Anjozorobe,-18.4,47.8667,56.89,94,35,11.16,MG,1653754609
Saint Anthony,45.0205,-93.218,74.3,53,0,18.41,US,1653754609
Mahajanga,-15.7167,46.3167,77.02,78,40,1.14,MG,1653754610
Gobabis,-22.45,18.9667,69.96,17,0,7.18,NA,1653754610
Tiksi,71.6872,128.8694,28.06,92,100,2.21,RU,1653754611
São Filipe,14.8961,-24.4956,73.89,81,26,5.12,CV,1653754612
Malangali,-8.5667,34.85,61.03,72,15,13.13,TZ,1653754612
Kavieng,-2.5744,150.7967,80.74,76,100,6.15,PG,1653754613
Yinchuan,38.4681,106.2731,76.77,32,80,12.84,CN,1653754613
Banda Aceh,5.5577,95.3222,80.49,81,97,15.17,ID,1653754613
Suez,29.9737,32.5263,88.36,23,0,18.95,EG,1653754614
Quetigny,47.3167,5.1167,67.95,28,0,12.66,FR,1653754614
Longyearbyen,78.2186,15.6401,51.64,50,75,6.91,SJ,1653754615
Nanortalik,60.1432,-45.2371,42.44,73,97,6.46,GL,1653754615
Río Tercero,-32.173,-64.1141,59.79,53,13,6.44,AR,1653754615
Phalaborwa,-23.943,31.1411,69.08,56,0,4.54,ZA,1653754616
Mogadouro,41.3403,-6.7119,86.54,17,2,4.0,PT,1653754616
Auburn,47.3073,-122.2284,53.19,86,100,3.44,US,1653754362
Puerto Limón,10.0,-83.0333,82.29,74,0,6.91,CR,1653754617
Baker City,44.7749,-117.8344,48.4,75,40,0.0,US,1653754352
Tuatapere,-46.1333,167.6833,45.63,90,92,4.65,NZ,1653754617
Nikolskoye,59.7035,30.7861,55.09,81,75,2.95,RU,1653754618
Thompson,55.7435,-97.8558,54.32,37,49,6.78,CA,1653754459
Lüderitz,-26.6481,15.1594,59.18,79,4,8.95,NA,1653754618
Merke,42.8728,73.1786,55.8,80,96,3.0,KZ,1653754618
Avarua,-21.2078,-159.775,75.25,88,28,5.75,CK,1653754619
Arman',59.7,150.1667,37.2,96,64,1.86,RU,1653754355
Jamestown,42.097,-79.2353,58.6,94,100,9.22,US,1653754619
Yulara,-25.2406,130.9889,66.22,50,100,13.98,AU,1653754619
